time,PM 2.5,PM 10
2018-09-27 05:48:00,15.5672131148,17.1213114754
2018-09-27 05:49:00,16.7033333333,21.1633333333
2018-09-27 05:50:00,17.2568965517,24.6413793103
2018-09-27 05:51:00,15.5333333333,19.2033333333
2018-09-27 05:52:00,16.8083333333,20.2783333333
2018-09-27 05:53:00,17.1366666667,22.7133333333
2018-09-27 05:54:00,17.5483333333,21.0983333333
2018-09-27 05:55:00,13.7672131148,16.5901639344
2018-09-27 05:56:00,15.3633333333,19.7933333333
2018-09-27 05:57:00,15.905,22.725
2018-09-27 05:58:00,15.9833333333,20.33
2018-09-27 05:59:00,17.65,22.475
2018-09-27 06:00:00,17.7796610169,24.4457627119
2018-09-27 06:01:00,15.5966666667,20.06
2018-09-27 06:02:00,16.1836065574,17.3983606557
2018-09-27 06:03:00,16.015,21.21
2018-09-27 06:04:00,16.9316666667,24.4866666667
2018-09-27 06:05:00,15.2983333333,21.0083333333
2018-09-27 06:06:00,15.7516666667,21.475
2018-09-27 06:07:00,15.3583333333,20.7766666667
2018-09-27 06:08:00,16.9049180328,21.0639344262
2018-09-27 06:09:00,15.635,20.3016666667
2018-09-27 06:10:00,16.8610169492,20.8288135593
2018-09-27 06:11:00,17.3683333333,26.3283333333
2018-09-27 06:12:00,16.4283333333,23.355
2018-09-27 06:13:00,15.5116666667,22.2766666667
2018-09-27 06:14:00,16.115,22.74
2018-09-27 06:15:00,17.4721311475,20.531147541
2018-09-27 06:16:00,16.595,23.6566666667
2018-09-27 06:17:00,18.3333333333,22.2966666667
2018-09-27 06:18:00,16.95,20.5916666667
2018-09-27 06:19:00,16.3166666667,24.3683333333
2018-09-27 06:20:00,17.8637931034,20.7637931034
2018-09-27 06:21:00,16.46,19.4383333333
2018-09-27 06:22:00,15.593442623,18.8360655738
2018-09-27 06:23:00,15.035,20.9216666667
2018-09-27 06:24:00,16.8833333333,20.7083333333
2018-09-27 06:25:00,17.31,19.9866666667
2018-09-27 06:26:00,17.2533333333,21.3833333333
2018-09-27 06:27:00,18.45,23.3816666667
2018-09-27 06:28:00,18.2933333333,20.125
2018-09-27 06:29:00,19.0081967213,24.293442623
2018-09-27 06:30:00,18.0568965517,21.2810344828
2018-09-27 06:31:00,16.5466666667,20.5166666667
2018-09-27 06:32:00,17.425,21.2083333333
2018-09-27 06:33:00,17.7733333333,21.4133333333
2018-09-27 06:34:00,16.2833333333,20.9166666667
2018-09-27 06:35:00,19.4133333333,25.8383333333
2018-09-27 06:36:00,20.6147540984,25.3032786885
2018-09-27 06:37:00,17.655,22.3483333333
2018-09-27 06:38:00,18.3316666667,22.2816666667
2018-09-27 06:39:00,16.895,20.0183333333
2018-09-27 06:40:00,17.4655172414,21.3310344828
2018-09-27 06:41:00,18.425,22.0966666667
2018-09-27 06:42:00,19.6566666667,26.2583333333
2018-09-27 06:43:00,19.7672131148,26.631147541
2018-09-27 06:44:00,18.1133333333,20.355
2018-09-27 06:45:00,17.905,22.045
2018-09-27 06:46:00,18.0316666667,20.3716666667
2018-09-27 06:47:00,17.7266666667,20.6516666667
2018-09-27 06:48:00,17.0166666667,19.8483333333
2018-09-27 06:49:00,18.1466666667,22.295
2018-09-27 06:50:00,18.3616666667,21.2583333333
2018-09-27 06:51:00,18.7383333333,22.6616666667
