time	Area	Orientation	MajorAxisLength	MinorAxisLength	MaxIntensity	MeanIntensity	Ellipticity	xCentroid	yCentroid	xCenter	yCenter	year	month	day	hour	minute	ALT	avgV	avgD	class	clust	event
731930.079861111	73	28.8947032796852	12.3765293820795	8.12995578809076	16.9398769884733	9.54586498464172	0.656884942224793	40.1643835616438	22.5068493150685	239164.383561644	617493.150684932	2003	12	15	1	55	40	13.7142857142857	297.857142857143	7	1	267
731930.083333333	43	17.4323996290667	9.82253335011675	5.76777710071694	26.0575225520376	13.1780859086445	0.587198525586924	20.5813953488372	13.3023255813953	219581.395348837	626697.674418605	2003	12	15	2	0	40	10.7142857142857	313.285714285714	20	1	267
731930.083333333	22	-18.3074879130229	8.38030269165419	3.90475489861939	10.7761204247912	7.68400653927848	0.465944374838402	40.1818181818182	22.8636363636364	239181.818181818	617136.363636364	2003	12	15	2	0	40	10.7142857142857	313.285714285714	20	1	267
731930.086805556	8	0	4.61880215351701	2.3094010767585	13.2170760036784	9.89740280801895	0.5	20.5	12.5	219500	627500	2003	12	15	2	5	40	7.71428571428571	328.714285714286	20	1	267
731930.097222222	37	42.5329178297198	7.32797109212915	6.62688793221237	23.2582460600849	10.918373311305	0.904327793996103	26.0810810810811	49.7567567567568	225081.081081081	590243.243243243	2003	12	15	2	20	45	7.28571428571429	328.285714285714	20	1	267
731930.100694445	65	26.6679576372456	11.7825437327763	7.17887999743419	46.2866068961511	17.0348454333581	0.609280997401623	26.1692307692308	49.3846153846154	225169.230769231	590615.384615385	2003	12	15	2	25	45	12	313.285714285714	20	1	267
731930.104166667	96	33.2741724649245	14.2591666629531	8.77065732810345	69.3149677322174	20.7454060366634	0.615089053618439	26.34375	49.2083333333333	225343.75	590791.666666667	2003	12	15	2	30	45	12.4285714285714	313.714285714286	20	1	267
731930.107638889	131	34.6750460587054	17.1594296172616	10.2080862590088	92.3433285682836	22.6182003905432	0.594896595440445	26.0992366412214	49.3664122137405	225099.236641221	590633.58778626	2003	12	15	2	35	45	16.2857142857143	297.428571428571	20	1	267
731930.111111111	181	35.0629069389364	25.0345872930734	9.47925068987832	59.0405362471815	16.1781137479045	0.378646173747831	34.6243093922652	43.3259668508287	233624.309392265	596674.033149171	2003	12	15	2	40	45	19.7142857142857	283.714285714286	20	1	267
731930.114583333	184	28.9526200068292	24.5643793798973	10.8500865651804	45.7784724115068	14.6317630030454	0.441700007860153	41.0054347826087	39.8804347826087	240005.434782609	600119.565217391	2003	12	15	2	45	45	23.5714285714286	269.142857142857	20	1	267
731930.118055556	255	41.7624990805669	27.0191505443081	12.4174443460402	61.8173882656579	20.8144752083439	0.459579375956956	46.4274509803922	35.8666666666667	245427.450980392	604133.333333333	2003	12	15	2	50	45	27	253.285714285714	20	1	267
731930.121527778	171	62.7252539385885	21.0072846128885	11.0402217762799	86.0690241053231	24.7793721909897	0.525542542966568	50.9005847953216	32.6783625730994	249900.584795322	607321.637426901	2003	12	15	2	55	45	26.5714285714286	254.571428571429	20	1	267
731930.125	270	31.3565899256014	23.9696824301486	16.2497399932862	143.453727327112	26.5031854969149	0.677928881229046	9.88148148148148	91.4296296296296	208881.481481481	548570.37037037	2003	12	15	3	0	110	25.2857142857143	255.857142857143	20	1	267
731930.128472222	307	22.2934380683048	26.7391822337303	16.0618599309322	131.012888106474	27.3358480028051	0.600686280924135	12.1237785016287	86.2833876221498	211123.778501629	553716.61237785	2003	12	15	3	5	110	25.2857142857143	257.571428571429	20	1	267
731930.131944445	359	24.7532317053923	35.259213186984	13.5173037286384	145.493029199082	27.0932160976619	0.383369409208153	15.924791086351	82.08356545961	214924.791086351	557916.43454039	2003	12	15	3	10	110	24.8571428571429	259.714285714286	20	1	267
731930.135416667	501	22.9044773359385	43.8970238614422	15.1508177401649	137.856683292741	26.3254846718413	0.345144531619896	21.0439121756487	76.2614770459082	220043.912175649	563738.522954092	2003	12	15	3	15	110	24.4285714285714	260.142857142857	20	1	267
731930.138888889	486	22.3996832578247	43.7967145406891	15.6943221932963	164.039880616211	27.9441704652932	0.358344737907578	21.2345679012346	74.3703703703704	220234.567901235	565629.62962963	2003	12	15	3	20	110	24.4285714285714	258.428571428571	20	1	267
731930.142361111	401	22.584798752992	49.1416016332526	12.5748006379091	106.786854201432	19.8276212215938	0.255889108616275	21.715710723192	70.6034912718204	220715.710723192	569396.50872818	2003	12	15	3	25	110	21	274.285714285714	20	1	267
731930.145833333	243	40.3765957548579	30.7405467794023	11.0635563345067	146.520261239557	25.35401566759	0.359901091346879	37.3744855967078	60.6954732510288	236374.485596708	579304.526748971	2003	12	15	3	30	110	17.5714285714286	280.285714285714	20	1	267
